Customer_ID,Age,Gender,Region
CUST000001,56.0,Male,South
CUST000002,69.0,Female,East
CUST000003,46.0,Female,East
CUST000004,32.0,Male,West
CUST000005,60.0,Male,East
CUST000006,25.0,Female,East
CUST000007,38.0,Female,East
CUST000008,56.0,Female,East
CUST000009,36.0,Female,South
CUST000010,,Female,East
CUST000011,28.0,Female,South
CUST000012,28.0,Female,South
CUST000013,41.0,Male,North
CUST000014,53.0,Female,South
CUST000015,57.0,Female,South
CUST000016,41.0,Male,East
CUST000017,20.0,Female,South
CUST000018,39.0,Female,West
CUST000019,19.0,Male,East
CUST000020,41.0,Female,East
CUST000021,61.0,Male,East
CUST000022,,Male,North
CUST000023,55.0,Male,East
CUST000024,19.0,Male,South
CUST000025,38.0,Female,West
CUST000026,50.0,Male,East
CUST000027,29.0,Male,East
CUST000028,,Female,West
CUST000029,61.0,Male,East
CUST000030,42.0,Male,North
CUST000031,66.0,Male,South
CUST000032,44.0,Male,West
CUST000033,,Female,West
CUST000034,45.0,Male,North
CUST000035,33.0,Female,South
CUST000036,32.0,Female,North
CUST000037,,Male,South
CUST000038,68.0,Male,North
CUST000039,61.0,Male,East
CUST000040,69.0,Male,North
CUST000041,,Female,West
CUST000042,54.0,Female,West
CUST000043,68.0,Female,West
CUST000044,24.0,Male,North
CUST000045,38.0,Female,West
CUST000046,26.0,Male,West
CUST000047,56.0,Male,East
CUST000048,35.0,Male,East
CUST000049,21.0,Male,South
CUST000050,42.0,Male,South
CUST000051,31.0,Female,South
CUST000052,67.0,Female,North
CUST000053,26.0,Male,South
CUST000054,43.0,Female,North
CUST000055,19.0,Male,North
CUST000056,,Male,South
CUST000057,45.0,Male,South
CUST000058,64.0,Female,North
CUST000059,24.0,Male,East
CUST000060,61.0,Male,West
CUST000061,25.0,Female,West
CUST000062,64.0,Female,West
CUST000063,52.0,Female,East
CUST000064,31.0,Male,North
CUST000065,34.0,Male,South
CUST000066,,Female,North
CUST000067,67.0,Male,North
CUST000068,,Female,South
CUST000069,21.0,Female,East
CUST000070,,Male,West
CUST000071,23.0,Male,West
CUST000072,59.0,Female,North
CUST000073,21.0,Female,East
CUST000074,46.0,Female,West
CUST000075,35.0,Female,East
CUST000076,,Male,South
CUST000077,61.0,Female,North
CUST000078,51.0,Female,North
CUST000079,27.0,Female,East
CUST000080,,Male,West
CUST000081,31.0,Male,East
CUST000082,48.0,Female,South
CUST000083,65.0,Male,West
CUST000084,32.0,Male,West
CUST000085,25.0,Male,East
CUST000086,31.0,Female,South
CUST000087,40.0,Female,West
CUST000088,57.0,Male,North
CUST000089,38.0,Female,South
CUST000090,33.0,Female,West
CUST000091,62.0,Male,East
CUST000092,35.0,Male,West
CUST000093,64.0,Female,North
CUST000094,41.0,Male,South
CUST000095,43.0,Female,West
CUST000096,42.0,Female,North
CUST000097,62.0,Male,West
CUST000098,58.0,Female,West
CUST000099,46.0,Female,South
CUST000100,32.0,Male,East
CUST000101,62.0,Male,East
CUST000102,18.0,Male,North
CUST000103,42.0,Female,North
CUST000104,24.0,Male,North
CUST000105,26.0,Male,South
CUST000106,41.0,Male,East
CUST000107,18.0,Male,North
CUST000108,61.0,Female,North
CUST000109,25.0,Female,West
CUST000110,41.0,Male,West
CUST000111,28.0,Female,North
CUST000112,68.0,Male,West
CUST000113,34.0,Male,West
CUST000114,25.0,Female,West
CUST000115,52.0,Female,South
CUST000116,52.0,Male,North
CUST000117,50.0,Male,North
CUST000118,22.0,Female,West
CUST000119,59.0,Male,South
CUST000120,56.0,Female,West
CUST000121,58.0,Male,South
CUST000122,45.0,Male,North
CUST000123,24.0,Female,West
CUST000124,26.0,Female,North
CUST000125,25.0,Female,South
CUST000126,29.0,Female,East
CUST000127,51.0,Female,South
CUST000128,,Female,East
CUST000129,65.0,Female,North
CUST000130,40.0,Male,North
CUST000131,41.0,Male,West
CUST000132,54.0,Male,East
CUST000133,52.0,Female,South
CUST000134,61.0,Female,North
CUST000135,57.0,Female,East
CUST000136,39.0,Male,South
CUST000137,,Female,East
CUST000138,52.0,Female,South
CUST000139,18.0,Male,South
CUST000140,,Female,South
CUST000141,54.0,Male,South
CUST000142,64.0,Male,East
CUST000143,31.0,Female,East
