Customer_ID,Payment_Method,Monthly_Spend,Discount_Offered
CUST000001,PayPal,62.11,6.42
CUST000002,Debit Card,37.27,13.77
CUST000003,PayPal,61.82,19.91
CUST000004,Debit Card,40.96,13.39
CUST000005,Credit Card,45.97,13.18
CUST000006,PayPal,43.48,5.6
CUST000007,Debit Card,48.9,7.09
CUST000008,Credit Card,29.09,12.7
CUST000009,PayPal,31.56,19.78
CUST000010,PayPal,43.79,18.15
CUST000011,Debit Card,43.24,10.1
CUST000012,Credit Card,54.06,13.15
CUST000013,Debit Card,39.5,13.29
CUST000014,PayPal,50.52,15.28
CUST000015,PayPal,61.9,15.32
CUST000016,PayPal,62.68,16.85
CUST000017,PayPal,54.76,5.37
CUST000018,Credit Card,44.9,19.16
CUST000019,Credit Card,47.89,6.05
CUST000020,Debit Card,46.68,12.14
CUST000021,Debit Card,46.76,18.79
CUST000022,Debit Card,55.75,12.32
CUST000023,PayPal,43.39,5.95
CUST000024,Debit Card,40.91,8.44
CUST000025,Credit Card,53.67,13.68
CUST000026,Debit Card,35.88,6.32
CUST000027,Debit Card,43.49,11.36
CUST000028,Credit Card,43.99,9.94
CUST000029,Credit Card,62.91,17.23
CUST000030,PayPal,52.54,6.65
CUST000031,Credit Card,49.16,15.24
CUST000032,Credit Card,43.67,11.1
CUST000033,Debit Card,56.82,13.82
CUST000034,Credit Card,43.68,8.08
CUST000035,PayPal,59.86,14.15
CUST000036,Debit Card,56.27,15.11
CUST000037,PayPal,27.94,6.05
CUST000038,Credit Card,56.26,17.37
CUST000039,PayPal,42.72,17.92
CUST000040,PayPal,47.53,5.95
CUST000041,Credit Card,40.76,14.05
CUST000042,Credit Card,53.07,13.91
CUST000043,Debit Card,47.02,5.19
CUST000044,Debit Card,37.94,10.14
CUST000045,Debit Card,55.8,19.53
CUST000046,Credit Card,38.75,13.33
CUST000047,PayPal,43.38,19.0
CUST000048,PayPal,42.84,15.13
CUST000049,Debit Card,31.46,5.43
CUST000050,Debit Card,39.84,6.17
CUST000051,Credit Card,48.53,15.83
CUST000052,PayPal,32.26,13.32
CUST000053,Debit Card,54.34,6.91
CUST000054,Credit Card,39.21,14.21
CUST000055,Debit Card,50.67,17.15
CUST000056,Credit Card,55.02,16.29
CUST000057,PayPal,59.56,8.69
CUST000058,Credit Card,52.03,8.87
CUST000059,Debit Card,61.25,19.52
CUST000060,Debit Card,49.52,18.31
CUST000061,PayPal,51.45,9.78
CUST000062,PayPal,54.39,17.36
CUST000063,Debit Card,46.02,7.43
CUST000064,Debit Card,56.12,7.95
CUST000065,Debit Card,59.64,7.72
CUST000066,PayPal,64.76,6.32
CUST000067,Debit Card,48.53,17.82
CUST000068,PayPal,64.71,13.68
CUST000069,Debit Card,39.1,8.88
CUST000070,Credit Card,47.64,17.73
CUST000071,Credit Card,40.37,17.04
CUST000072,Debit Card,52.84,6.51
CUST000073,Credit Card,49.36,14.66
CUST000074,PayPal,43.7,15.83
CUST000075,Credit Card,50.17,15.74
CUST000076,Credit Card,45.62,15.85
CUST000077,PayPal,45.65,7.54
CUST000078,Credit Card,55.25,9.73
CUST000079,Credit Card,58.73,17.66
CUST000080,Debit Card,45.46,18.48
CUST000081,PayPal,47.95,9.19
CUST000082,PayPal,48.51,5.35
CUST000083,Debit Card,36.23,17.9
CUST000084,Debit Card,52.89,10.66
CUST000085,Credit Card,44.66,9.94
CUST000086,Credit Card,45.0,10.2
CUST000087,Credit Card,38.88,11.24
