Customer_ID,Subscription_Length,Last_Activity,Support_Tickets_Raised,Satisfaction_Score
CUST000001,54,319,0,9.0
CUST000002,21,166,1,2.0
CUST000003,49,207,3,8.0
CUST000004,47,108,3,1.0
CUST000005,6,65,2,
CUST000006,48,267,2,
CUST000007,49,353,2,5.0
CUST000008,3,185,0,1.0
CUST000009,10,224,3,1.0
CUST000010,5,153,2,6.0
CUST000011,46,289,2,3.0
CUST000012,26,285,1,8.0
CUST000013,21,186,3,4.0
CUST000014,45,226,5,6.0
CUST000015,26,200,0,10.0
CUST000016,38,11,0,
CUST000017,44,325,1,8.0
CUST000018,26,277,2,4.0
CUST000019,8,3,2,10.0
CUST000020,5,350,1,
CUST000021,15,278,5,7.0
CUST000022,59,62,0,5.0
CUST000023,16,5,1,7.0
CUST000024,1,9,2,7.0
CUST000025,16,58,2,10.0
CUST000026,37,280,3,2.0
CUST000027,3,238,0,7.0
CUST000028,52,317,2,3.0
CUST000029,47,127,0,8.0
CUST000030,31,304,1,8.0
CUST000031,13,237,4,9.0
CUST000032,56,219,6,4.0
CUST000033,16,178,0,10.0
CUST000034,55,318,3,3.0
CUST000035,43,149,0,9.0
CUST000036,21,38,0,9.0
CUST000037,2,118,1,2.0
CUST000038,54,315,4,6.0
CUST000039,27,97,3,3.0
CUST000040,38,17,0,5.0
CUST000041,26,325,0,
CUST000042,58,279,0,4.0
CUST000043,59,359,2,3.0
CUST000044,38,154,4,2.0
CUST000045,46,94,2,6.0
CUST000046,25,175,3,3.0
CUST000047,11,302,0,4.0
CUST000048,8,29,3,6.0
CUST000049,8,34,5,5.0
CUST000050,33,10,2,
CUST000051,53,276,4,4.0
CUST000052,7,290,2,2.0
CUST000053,38,101,3,10.0
CUST000054,21,141,1,
CUST000055,8,87,1,8.0
CUST000056,51,301,1,5.0
CUST000057,54,128,5,10.0
CUST000058,21,206,2,10.0
CUST000059,56,89,3,8.0
CUST000060,20,82,0,6.0
CUST000061,8,212,1,
CUST000062,58,119,3,5.0
CUST000063,46,348,2,4.0
CUST000064,31,136,1,
CUST000065,50,261,1,9.0
CUST000066,57,276,1,10.0
CUST000067,29,208,1,5.0
CUST000068,48,314,1,10.0
CUST000069,9,243,2,6.0
CUST000070,15,345,2,7.0
CUST000071,30,100,0,1.0
CUST000072,26,115,1,9.0
CUST000073,10,330,1,8.0
CUST000074,29,16,4,5.0
CUST000075,54,4,1,3.0
CUST000076,16,266,1,5.0
CUST000077,36,48,0,5.0
CUST000078,20,223,0,
CUST000079,45,204,1,7.0
CUST000080,54,20,4,2.0
CUST000081,37,288,1,
CUST000082,22,194,1,9.0
CUST000083,7,316,1,2.0
CUST000084,23,11,1,8.0
CUST000085,41,20,1,3.0
CUST000086,40,279,0,4.0
CUST000087,29,333,1,2.0
CUST000088,16,35,1,9.0
CUST000089,38,266,3,6.0
CUST000090,28,232,5,9.0
CUST000091,48,38,7,8.0
CUST000092,38,83,5,9.0
CUST000093,31,32,0,5.0
CUST000094,14,54,3,6.0
CUST000095,53,225,4,7.0
CUST000096,33,313,1,5.0
CUST000097,57,107,1,1.0
CUST000098,9,25,4,9.0
CUST000099,57,45,1,2.0
CUST000100,27,118,0,7.0
CUST000101,24,294,1,8.0
CUST000102,13,125,2,8.0
CUST000103,26,36,0,1.0
CUST000104,29,344,3,10.0
CUST000105,51,167,2,7.0
CUST000106,49,269,5,9.0
CUST000107,43,194,3,3.0
CUST000108,28,124,3,8.0
CUST000109,28,271,1,8.0
CUST000110,8,58,2,9.0
CUST000111,23,59,4,8.0
CUST000112,29,308,2,5.0
CUST000113,5,217,1,5.0
CUST000114,42,69,2,3.0
CUST000115,7,244,5,6.0
CUST000116,42,103,3,
CUST000117,36,5,1,
CUST000118,41,299,4,2.0
CUST000119,27,264,0,7.0
CUST000120,58,241,2,10.0
CUST000121,46,334,2,3.0
CUST000122,2,349,2,4.0
CUST000123,25,222,5,10.0
CUST000124,9,319,1,8.0
CUST000125,53,229,1,1.0
CUST000126,27,32,1,9.0
CUST000127,1,353,1,6.0
CUST000128,23,24,2,2.0
CUST000129,10,306,3,3.0
CUST000130,42,187,3,5.0
CUST000131,52,128,2,
CUST000132,25,112,1,9.0
CUST000133,54,294,1,2.0
CUST000134,3,149,4,
CUST000135,6,151,2,7.0
CUST000136,58,174,1,7.0
CUST000137,6,197,1,4.0
CUST000138,53,255,5,3.0
CUST000139,2,168,1,8.0
CUST000140,58,82,2,2.0
CUST000141,58,70,4,5.0
CUST000142,18,325,2,10.0
CUST000143,23,13,2,5.0
CUST000144,2,119,1,1.0
CUST000145,12,212,1,7.0
CUST000146,22,102,1,4.0
CUST000147,37,277,2,10.0
CUST000148,20,196,2,2.0
CUST000149,39,77,0,8.0
CUST000150,24,338,3,4.0
CUST000151,48,333,3,1.0
CUST000152,20,205,1,8.0
CUST000153,1,229,3,7.0
CUST000154,1,189,4,3.0
CUST000155,17,99,4,3.0
CUST000156,59,218,2,7.0
CUST000157,1,194,1,2.0
CUST000158,53,43,0,5.0
CUST000159,52,124,3,7.0
CUST000160,45,20,2,6.0
CUST000161,30,311,0,10.0
CUST000162,41,330,5,7.0
CUST000163,47,328,4,2.0
CUST000164,3,168,1,7.0
CUST000165,46,46,4,2.0
CUST000166,55,223,3,7.0
CUST000167,11,79,4,8.0
CUST000168,24,170,3,10.0
CUST000169,22,246,1,8.0
CUST000170,44,271,3,5.0
CUST000171,45,99,2,7.0
CUST000172,26,322,2,8.0
CUST000173,13,141,2,4.0
CUST000174,1,109,1,2.0
CUST000175,24,313,5,7.0
CUST000176,10,137,4,1.0
CUST000177,35,121,1,2.0
CUST000178,24,99,3,10.0
CUST000179,28,66,3,7.0
CUST000180,36,144,4,10.0
CUST000181,16,110,1,1.0
CUST000182,40,130,1,7.0
CUST000183,16,328,2,5.0
CUST000184,59,257,1,3.0
CUST000185,17,210,1,2.0
CUST000186,51,246,0,7.0
CUST000187,54,361,2,9.0
CUST000188,15,154,2,9.0
CUST000189,16,133,1,10.0
CUST000190,15,21,1,10.0
CUST000191,57,35,3,8.0
CUST000192,34,360,2,2.0
CUST000193,11,310,1,1.0
CUST000194,1,224,1,8.0
CUST000195,15,124,1,2.0
CUST000196,26,240,2,4.0
CUST000197,51,364,4,4.0
CUST000198,4,300,1,2.0
CUST000199,43,341,0,4.0
CUST000200,5,4,1,7.0
CUST000201,35,123,2,
CUST000202,13,42,0,10.0
CUST000203,10,169,3,6.0
CUST000204,11,280,1,4.0
